,Asset Turnover (Average),Book Value Per Share * USD,COGS,Cap Spending USD Mil,Dividends USD,EBT Margin,Earnings Per Share USD,Financial Leverage (Average),Free Cash Flow Per Share * USD,Free Cash Flow USD Mil,Gross Margin,Gross Margin %,Interest Coverage,Key Ratios -> Growth,Key Ratios -> Profitability,Margins % of Sales,Net Income USD Mil,Net Int Inc & Other,Net Margin %,Operating Cash Flow USD Mil,Operating Income USD Mil,Operating Margin,Operating Margin %,Other,Payout Ratio % *,Profitability,R&D,Return on Assets %,Return on Equity %,Return on Invested Capital %,Revenue,Revenue USD Mil,SG&A,Shares Mil,Tax Rate %,Working Capital USD Mil,ticker,,Revenue %,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Income %,Net Income %,EPS %,Key Ratios -> Cash Flow,Cash Flow Ratios,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Key Ratios -> Financial Health,Balance Sheet Items (in %),Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Liquidity/Financial Health,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Key Ratios -> Efficiency Ratios,Efficiency,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,Revenue CNY Mil,Operating Income CNY Mil,Net Income CNY Mil,Earnings Per Share CNY,Dividends CNY,Book Value Per Share * CNY,Operating Cash Flow CNY Mil,Cap Spending CNY Mil,Free Cash Flow CNY Mil,Free Cash Flow Per Share * CNY,Working Capital CNY Mil,Revenue EUR Mil,Operating Income EUR Mil,Net Income EUR Mil,Earnings Per Share EUR,Dividends EUR,Book Value Per Share * EUR,Operating Cash Flow EUR Mil,Cap Spending EUR Mil,Free Cash Flow EUR Mil,Free Cash Flow Per Share * EUR,Working Capital EUR Mil,Revenue CHF Mil,Operating Income CHF Mil,Net Income CHF Mil,Earnings Per Share CHF,Dividends CHF,Book Value Per Share * CHF,Operating Cash Flow CHF Mil,Cap Spending CHF Mil,Free Cash Flow CHF Mil,Free Cash Flow Per Share * CHF,Working Capital CHF Mil,Revenue CAD Mil,Operating Income CAD Mil,Net Income CAD Mil,Earnings Per Share CAD,Dividends CAD,Book Value Per Share * CAD,Operating Cash Flow CAD Mil,Cap Spending CAD Mil,Free Cash Flow CAD Mil,Free Cash Flow Per Share * CAD,Working Capital CAD Mil,Revenue MXN Mil,Operating Income MXN Mil,Net Income MXN Mil,Earnings Per Share MXN,Dividends MXN,Book Value Per Share * MXN,Operating Cash Flow MXN Mil,Cap Spending MXN Mil,Free Cash Flow MXN Mil,Free Cash Flow Per Share * MXN,Working Capital MXN Mil,Revenue ILS Mil,Operating Income ILS Mil,Net Income ILS Mil,Earnings Per Share ILS,Dividends ILS,Book Value Per Share * ILS,Operating Cash Flow ILS Mil,Cap Spending ILS Mil,Free Cash Flow ILS Mil,Free Cash Flow Per Share * ILS,Working Capital ILS Mil,Revenue AUD Mil,Operating Income AUD Mil,Net Income AUD Mil,Earnings Per Share AUD,Dividends AUD,Book Value Per Share * AUD,Operating Cash Flow AUD Mil,Cap Spending AUD Mil,Free Cash Flow AUD Mil,Free Cash Flow Per Share * AUD,Working Capital AUD Mil,Revenue TWD Mil,Operating Income TWD Mil,Net Income TWD Mil,Earnings Per Share TWD,Dividends TWD,Book Value Per Share * TWD,Operating Cash Flow TWD Mil,Cap Spending TWD Mil,Free Cash Flow TWD Mil,Free Cash Flow Per Share * TWD,Working Capital TWD Mil,Revenue ARS Mil,Operating Income ARS Mil,Net Income ARS Mil,Earnings Per Share ARS,Dividends ARS,Book Value Per Share * ARS,Operating Cash Flow ARS Mil,Cap Spending ARS Mil,Free Cash Flow ARS Mil,Free Cash Flow Per Share * ARS,Working Capital ARS Mil,Revenue SEK Mil,Operating Income SEK Mil,Net Income SEK Mil,Earnings Per Share SEK,Dividends SEK,Book Value Per Share * SEK,Operating Cash Flow SEK Mil,Cap Spending SEK Mil,Free Cash Flow SEK Mil,Free Cash Flow Per Share * SEK,Working Capital SEK Mil,Revenue JPY Mil,Operating Income JPY Mil,Net Income JPY Mil,Earnings Per Share JPY,Dividends JPY,Book Value Per Share * JPY,Operating Cash Flow JPY Mil,Cap Spending JPY Mil,Free Cash Flow JPY Mil,Free Cash Flow Per Share * JPY,Working Capital JPY Mil,Revenue KRW Mil,Operating Income KRW Mil,Net Income KRW Mil,Earnings Per Share KRW,Dividends KRW,Book Value Per Share * KRW,Operating Cash Flow KRW Mil,Cap Spending KRW Mil,Free Cash Flow KRW Mil,Free Cash Flow Per Share * KRW,Working Capital KRW Mil,Revenue GBP Mil,Operating Income GBP Mil,Net Income GBP Mil,Earnings Per Share GBP,Dividends GBP,Book Value Per Share * GBP,Operating Cash Flow GBP Mil,Cap Spending GBP Mil,Free Cash Flow GBP Mil,Free Cash Flow Per Share * GBP,Working Capital GBP Mil,Revenue IDR Mil,Operating Income IDR Mil,Net Income IDR Mil,Earnings Per Share IDR,Dividends IDR,Book Value Per Share * IDR,Operating Cash Flow IDR Mil,Cap Spending IDR Mil,Free Cash Flow IDR Mil,Free Cash Flow Per Share * IDR,Working Capital IDR Mil,Revenue RUB Mil,Operating Income RUB Mil,Net Income RUB Mil,Earnings Per Share RUB,Dividends RUB,Book Value Per Share * RUB,Operating Cash Flow RUB Mil,Cap Spending RUB Mil,Free Cash Flow RUB Mil,Free Cash Flow Per Share * RUB,Working Capital RUB Mil,Revenue INR Mil,Operating Income INR Mil,Net Income INR Mil,Earnings Per Share INR,Dividends INR,Book Value Per Share * INR,Operating Cash Flow INR Mil,Cap Spending INR Mil,Free Cash Flow INR Mil,Free Cash Flow Per Share * INR,Working Capital INR Mil,Revenue DKK Mil,Operating Income DKK Mil,Net Income DKK Mil,Earnings Per Share DKK,Dividends DKK,Book Value Per Share * DKK,Operating Cash Flow DKK Mil,Cap Spending DKK Mil,Free Cash Flow DKK Mil,Free Cash Flow Per Share * DKK,Working Capital DKK Mil,,Revenue BRL Mil,Operating Income BRL Mil,Net Income BRL Mil,Earnings Per Share BRL,Dividends BRL,Book Value Per Share * BRL,Operating Cash Flow BRL Mil,Cap Spending BRL Mil,Free Cash Flow BRL Mil,Free Cash Flow Per Share * BRL,Working Capital BRL Mil,Revenue THB Mil,Operating Income THB Mil,Net Income THB Mil,Earnings Per Share THB,Dividends THB,Book Value Per Share * THB,Operating Cash Flow THB Mil,Cap Spending THB Mil,Free Cash Flow THB Mil,Free Cash Flow Per Share * THB,Working Capital THB Mil,Revenue CLP Mil,Operating Income CLP Mil,Net Income CLP Mil,Earnings Per Share CLP,Dividends CLP,Book Value Per Share * CLP,Operating Cash Flow CLP Mil,Cap Spending CLP Mil,Free Cash Flow CLP Mil,Free Cash Flow Per Share * CLP,Working Capital CLP Mil,Revenue COP Mil,Operating Income COP Mil,Net Income COP Mil,Earnings Per Share COP,Dividends COP,Book Value Per Share * COP,Operating Cash Flow COP Mil,Cap Spending COP Mil,Free Cash Flow COP Mil,Free Cash Flow Per Share * COP,Working Capital COP Mil,Revenue PEN Mil,Operating Income PEN Mil,Net Income PEN Mil,Earnings Per Share PEN,Dividends PEN,Book Value Per Share * PEN,Operating Cash Flow PEN Mil,Cap Spending PEN Mil,Free Cash Flow PEN Mil,Free Cash Flow Per Share * PEN,Working Capital PEN Mil,Revenue ZAR Mil,Operating Income ZAR Mil,Net Income ZAR Mil,Earnings Per Share ZAR,Dividends ZAR,Book Value Per Share * ZAR,Operating Cash Flow ZAR Mil,Cap Spending ZAR Mil,Free Cash Flow ZAR Mil,Free Cash Flow Per Share * ZAR,Working Capital ZAR Mil,Revenue PHP Mil,Operating Income PHP Mil,Net Income PHP Mil,Earnings Per Share PHP,Dividends PHP,Book Value Per Share * PHP,Operating Cash Flow PHP Mil,Cap Spending PHP Mil,Free Cash Flow PHP Mil,Free Cash Flow Per Share * PHP,Working Capital PHP Mil,Revenue PLN Mil,Operating Income PLN Mil,Net Income PLN Mil,Earnings Per Share PLN,Dividends PLN,Book Value Per Share * PLN,Operating Cash Flow PLN Mil,Cap Spending PLN Mil,Free Cash Flow PLN Mil,Free Cash Flow Per Share * PLN,Working Capital PLN Mil,Revenue TRY Mil,Operating Income TRY Mil,Net Income TRY Mil,Earnings Per Share TRY,Dividends TRY,Book Value Per Share * TRY,Operating Cash Flow TRY Mil,Cap Spending TRY Mil,Free Cash Flow TRY Mil,Free Cash Flow Per Share * TRY,Working Capital TRY Mil
0,1.10,43.96,92.85,-31,,0.55,0.46,2.82,,4,7.15,7.1,,,,TTM,5,-0.90,0.35,35,19,1.45,1.5,0.02,,TTM,,0.38,1.08,0.54,100.00,"1,292",5.68,10,35.94,,SENEA,Latest Qtr,,-117.74,,,,,,,,TTM,,,2.43,0.28,0.78,,Latest Qtr,1.23,9.31,66.31,0.22,77.08,22.49,,0.43,100.00,20.65,,,5.27,0.78,26.69,32.66,5.13,64.48,35.52,100.00,Latest Qtr,2.89,0.40,2.82,1.01,,TTM,30.37,239.45,74.04,195.77,12.02,1.52,5.39,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.10,43.96,92.85,-31,,0.55,0.46,2.82,,4,7.15,7.1,,,,TTM,5,-0.90,0.35,35,19,1.45,1.5,0.02,,TTM,,0.38,1.08,0.54,100.00,"1,292",5.68,10,35.94,,SENEB,Latest Qtr,,-117.74,,,,,,,,TTM,,,2.43,0.28,0.78,,Latest Qtr,1.23,9.31,66.31,0.22,77.08,22.49,,0.43,100.00,20.65,,,5.27,0.78,26.69,32.66,5.13,64.48,35.52,100.00,Latest Qtr,2.89,0.40,2.82,1.01,,TTM,30.37,239.45,74.04,195.77,12.02,1.52,5.39,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.02,0.35,,-1,,,-1.32,1.58,,-11,,,-270.92,,,TTM,-14,-28.57,,-10,-14,,,,,TTM,,-309.44,-603.84,-456.57,100.00,0,,10,,,SNES,Latest Qtr,,,,,,,,,,TTM,,,975.82,,0.80,,Latest Qtr,62.93,0.12,6.80,3.26,73.11,26.89,,,100.00,3.02,3.31,,18.53,,24.86,10.99,0.85,36.69,63.31,100.00,Latest Qtr,2.94,2.54,1.58,0.17,,TTM,48.13,,,,7.58,,0.08,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.15,13.09,38.26,-190,1.56,11.98,0.54,2.31,,219,61.74,61.7,1.76,,,TTM,125,-16.17,11.72,409,301,28.15,28.1,27.10,283.4,TTM,,1.74,3.95,4.26,100.00,"1,071",6.49,237,0.32,,SNH,Latest Qtr,,16.67,,,,,,,,TTM,,,17.72,20.47,1.75,,Latest Qtr,0.40,,,0.20,0.60,88.51,6.45,4.44,100.00,,,,0.45,1.37,1.82,38.16,16.73,56.71,43.29,100.00,Latest Qtr,0.33,0.22,2.31,1.14,,TTM,,,,,,,0.17,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.84,0.23,7.35,-0,,-65.11,-0.26,1.69,,-10,92.65,92.7,,,,TTM,-12,0.32,-65.11,-10,-12,-65.43,-65.4,,,TTM,94.28,-54.51,-86.48,-86.48,100.00,19,63.80,47,,,SNMX,Latest Qtr,,,,,,,,,,TTM,,,2.62,-55.27,0.85,,Latest Qtr,42.18,28.32,11.39,3.61,85.50,14.50,,,100.00,,,,,23.49,23.49,,17.21,40.70,59.30,100.00,Latest Qtr,3.64,3.00,1.69,,,TTM,97.18,547.37,,,3.76,0.67,6.73,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.05,0.89,32.46,-0,,-17.21,-0.25,1.51,,-3,67.54,67.5,-66.59,,,TTM,-3,0.15,-17.21,-2,-3,-17.36,-17.4,,,TTM,23.81,-18.02,-24.10,-22.94,100.00,19,61.09,13,,,SRTS,Latest Qtr,,,,,,,,,,TTM,,,1.39,-13.83,0.80,,Latest Qtr,54.37,27.98,9.54,2.63,94.51,2.30,3.06,0.13,100.00,,8.97,,,24.81,33.78,,0.08,33.86,66.14,100.00,Latest Qtr,2.80,2.44,1.51,,,TTM,86.44,88.55,,,4.22,4.12,42.87,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.12,7.03,,-3,,-8.99,-0.37,3.11,,28,,,,,,TTM,-24,-38.99,-14.34,31,50,29.99,30.0,70.01,,TTM,,-1.70,-5.28,-2.19,100.00,166,,63,,,SQBG,Latest Qtr,,,,,,,,,,TTM,,,1.98,16.64,-1.16,,Latest Qtr,0.91,3.67,,0.57,5.14,0.45,94.07,0.33,100.00,,2.05,,,1.48,3.52,43.32,21.03,67.88,32.12,100.00,Latest Qtr,1.46,1.30,3.11,1.35,,TTM,104.27,,,,3.50,,22.45,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.13,2.11,,-10,,-267.15,-2.12,2.48,,-85,,,,,,TTM,-86,4.96,-267.15,-76,-87,-272.11,-272.1,,,TTM,267.05,-33.65,-71.57,-73.77,100.00,32,105.06,40,,,MCRB,Latest Qtr,,-63.04,,,,,,,,TTM,,,30.17,-266.20,1.00,,Latest Qtr,80.85,,,2.52,83.37,15.92,,0.71,100.00,2.54,,,4.53,5.69,12.76,,46.88,59.64,40.36,100.00,Latest Qtr,6.53,6.34,2.48,,,TTM,,,,,,,0.94,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.82,1.21,67.93,-19,,-15.41,-0.44,2.62,,-18,32.07,32.1,,,,TTM,-38,-4.49,-15.89,1,-26,-10.92,-10.9,2.59,,TTM,2.79,-13.06,-32.49,-11.77,100.00,242,37.61,89,,,SREV,Latest Qtr,,-45.45,,,,,,,,TTM,,,7.85,-7.33,0.46,,Latest Qtr,62.80,18.53,,2.56,83.89,12.47,2.37,1.27,100.00,0.39,49.51,0.14,8.24,1.03,59.31,,2.49,61.80,38.20,100.00,Latest Qtr,1.41,1.37,2.62,,,TTM,80.92,,3.00,,4.51,,6.64,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.03,11.13,,-31,0.19,55.41,1.73,11.38,,78,,,,,,TTM,94,-7.75,39.79,109,130,55.41,55.4,15.02,11.0,TTM,,1.47,17.07,,100.00,235,21.81,54,28.15,,SFBS,Latest Qtr,,20.51,,,,,,,,TTM,,,13.37,32.97,0.83,,Latest Qtr,2.48,0.30,,,,0.82,0.22,,100.00,,,,0.06,,,0.82,,91.21,8.79,100.00,Latest Qtr,,,11.38,0.09,,TTM,,,,,,,5.87,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.81,0.39,96.10,-0,,-25.08,-0.62,2.91,,-8,3.90,3.9,,,,TTM,-25,-0.27,-22.98,-7,-27,-24.82,-24.8,2.71,,TTM,,-41.66,-75.60,-69.21,100.00,107,26.00,57,,,SSC,Latest Qtr,,,,,,,,,,TTM,,,0.33,-7.12,0.31,,Latest Qtr,2.34,59.79,0.53,4.78,67.43,0.17,22.68,9.72,100.00,60.27,4.19,,1.12,1.16,66.75,,-1.07,65.68,34.32,100.00,Latest Qtr,1.01,0.93,2.91,,,TTM,80.06,1.34,77.02,4.38,4.56,273.40,1079.71,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.04,7.51,,-0,,25.01,0.28,8.71,,12,,,,,,TTM,4,3.98,12.88,12,7,25.01,25.0,17.47,,TTM,,0.47,4.16,,100.00,29,61.51,12,40.88,,SVBI,Latest Qtr,,125.00,,,,,,,,TTM,,,1.56,41.40,2.80,,Latest Qtr,0.21,0.31,,,,2.92,,,100.00,,0.62,,,,,13.62,,88.52,11.48,100.00,Latest Qtr,,,8.71,1.18,,TTM,,,,,,,1.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.36,2.94,80.83,,,-104.93,,1.14,,-2,19.17,19.2,-1.51,,,TTM,-2,-11.22,-104.93,-2,-2,-93.71,-93.7,,,TTM,,-37.58,,,100.00,2,112.87,4,,,SGBX,Latest Qtr,,-77.48,,,,,,,,TTM,,,,-96.60,0.92,,Latest Qtr,43.06,2.51,,2.83,48.39,0.05,51.55,,100.00,,,,,12.16,12.16,,,12.16,87.84,100.00,Latest Qtr,3.98,3.75,1.14,,,TTM,50.40,21.41,62.07,9.73,7.24,17.05,247.29,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.05,8.56,96.01,,,-105.78,-0.68,1.16,,-1,3.99,4.0,-356.47,,,TTM,-5,-27.50,-99.57,-1,-4,-78.28,-78.3,,,TTM,,-5.39,-6.14,-6.17,100.00,5,82.26,7,,,SGOC,Latest Qtr,,-63.16,,,,,,,,TTM,,,,-21.29,0.21,,Latest Qtr,0.03,6.56,,,6.59,,61.63,31.78,100.00,0.22,0.34,6.22,0.24,0.22,7.25,,6.31,13.56,86.44,100.00,Latest Qtr,0.91,0.91,1.16,,,TTM,12.49,0.97,10.05,3.42,29.22,374.38,779.85,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.08,1.59,68.95,-2,,-0.63,-0.02,1.35,,-1,31.05,31.1,-1.22,,,TTM,-0,-0.25,-0.65,1,-0,-0.38,-0.4,2.09,,TTM,,-0.71,-0.99,-0.56,100.00,38,29.34,16,,,SMED,Latest Qtr,,-107.77,,,,,,,,TTM,,,5.53,-2.60,3.97,,Latest Qtr,14.94,21.08,12.28,1.64,49.94,18.80,30.90,0.35,100.00,5.73,1.74,,4.40,6.94,18.80,5.37,2.02,26.19,73.81,100.00,Latest Qtr,2.66,1.92,1.35,0.07,,TTM,68.35,58.30,31.77,94.89,5.34,6.26,6.17,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.49,2.27,39.00,-0,,-69.24,-0.82,1.13,,-6,61.00,61.0,,,,TTM,-7,0.34,-53.13,-6,-9,-69.58,-69.6,17.12,,TTM,21.95,-26.14,-30.17,-30.17,100.00,13,91.51,8,,,SHSP,Latest Qtr,,33.33,,,,,,,,TTM,,,1.29,-48.52,0.91,,Latest Qtr,29.27,12.66,,1.38,43.31,3.91,52.50,0.28,100.00,4.11,,2.08,2.67,1.28,10.14,,1.33,11.47,88.53,100.00,Latest Qtr,4.27,4.13,1.13,,,TTM,25.88,,66.09,,14.10,,14.47,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
